date,day_of_week,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,net_pnl,cumulative_pnl,max_open_positions,first_trade_time,last_trade_time,data_period
2023-03-14,Tuesday,10,6,1,3,2,8,20.0,150.60,108833.46,3,2023-03-14 09:45:00,2023-03-14 15:45:00,2022-2024 (blind test)
2023-03-15,Wednesday,8,3,1,4,0,8,0.0,-864.72,107968.74,3,2023-03-15 09:45:00,2023-03-15 15:30:00,2022-2024 (blind test)
2023-03-16,Thursday,12,9,1,2,3,9,25.0,937.92,108906.66,3,2023-03-16 09:30:00,2023-03-16 15:45:00,2022-2024 (blind test)
2023-03-17,Friday,8,4,1,3,2,6,25.0,479.28,109385.94,3,2023-03-17 09:45:00,2023-03-17 11:45:00,2022-2024 (blind test)
2023-03-20,Monday,6,2,1,3,2,4,33.3,633.96,110019.90,3,2023-03-20 09:45:00,2023-03-20 12:15:00,2022-2024 (blind test)
2023-03-21,Tuesday,9,6,0,3,1,8,11.1,-249.06,109770.84,3,2023-03-21 09:30:00,2023-03-21 15:45:00,2022-2024 (blind test)
2023-03-22,Wednesday,10,4,0,6,2,8,20.0,-26.40,109744.44,3,2023-03-22 10:00:00,2023-03-22 15:45:00,2022-2024 (blind test)
2023-03-23,Thursday,4,2,0,2,1,3,25.0,272.64,110017.08,3,2023-03-23 09:30:00,2023-03-23 15:30:00,2022-2024 (blind test)
2023-03-24,Friday,2,1,0,1,0,2,0.0,-208.68,109808.40,3,2023-03-24 09:45:00,2023-03-24 15:30:00,2022-2024 (blind test)
2023-03-27,Monday,5,2,1,2,3,2,60.0,1192.80,111001.20,3,2023-03-27 09:45:00,2023-03-27 12:00:00,2022-2024 (blind test)
2023-03-28,Tuesday,7,4,1,2,3,4,42.9,538.62,111539.82,3,2023-03-28 09:30:00,2023-03-28 13:45:00,2022-2024 (blind test)
2023-03-29,Wednesday,9,7,0,2,2,7,22.2,-58.56,111481.26,3,2023-03-29 09:30:00,2023-03-29 15:30:00,2022-2024 (blind test)
2023-03-30,Thursday,6,4,0,2,1,5,16.7,-296.04,111185.22,3,2023-03-30 09:45:00,2023-03-30 15:45:00,2022-2024 (blind test)
2023-03-31,Friday,12,8,1,3,5,7,41.7,474.42,111659.64,3,2023-03-31 09:45:00,2023-03-31 15:30:00,2022-2024 (blind test)
2023-04-03,Monday,5,2,1,2,0,5,0.0,-551.70,111107.94,3,2023-04-03 09:45:00,2023-04-03 15:45:00,2022-2024 (blind test)
2023-04-04,Tuesday,6,1,1,4,0,6,0.0,-656.04,110451.90,3,2023-04-04 09:30:00,2023-04-04 12:15:00,2022-2024 (blind test)
2023-04-05,Wednesday,6,4,0,2,2,4,33.3,276.96,110728.86,3,2023-04-05 09:30:00,2023-04-05 12:30:00,2022-2024 (blind test)
2023-04-06,Thursday,8,5,0,3,3,5,37.5,561.78,111290.64,3,2023-04-06 09:45:00,2023-04-06 14:15:00,2022-2024 (blind test)
2023-04-10,Monday,6,2,1,3,2,4,33.3,266.46,111557.10,3,2023-04-10 09:45:00,2023-04-10 12:45:00,2022-2024 (blind test)
2023-04-11,Tuesday,3,0,1,2,1,2,33.3,-88.02,111469.08,3,2023-04-11 09:45:00,2023-04-11 15:45:00,2022-2024 (blind test)
2023-04-12,Wednesday,9,4,0,5,1,8,11.1,-249.06,111220.02,3,2023-04-12 09:45:00,2023-04-12 15:45:00,2022-2024 (blind test)
2023-04-13,Thursday,9,8,0,1,1,8,11.1,-456.06,110763.96,3,2023-04-13 09:45:00,2023-04-13 15:30:00,2022-2024 (blind test)
